nama_course,kategori,level,price,jumlah_peserta,content_duration,level,title_clean,rating,num_reviews,benefit
Financial Modeling for Business Analysts and Consultants,Business Finance,intermediate level,45,2174,2.5,Intermediate,financial modeling for business analysts and consultants,4.569237,1798.0,Meningkatkan pengetahuan dan keterampilan di bidang Business Finance
How To Maximize Your Profits Trading Options,Business Finance,intermediate level,200,1276,2.0,Intermediate,how to maximize your profits trading options,4.843348,222.0,Meningkatkan pengetahuan dan keterampilan di bidang Business Finance
Investing And Trading For Beginners: Mastering Price Charts,Business Finance,beginner level,65,1540,1.0,Beginner,investing and trading for beginners: mastering price charts,4.9502134,396.0,Meningkatkan pengetahuan dan keterampilan di bidang Business Finance
Options Trading 3 : Advanced Stock Profit and Success Method,Business Finance,expert level,195,5172,2.5,Expert,options trading 3 : advanced stock profit and success method,4.239083461755486,0.0,Meningkatkan pengetahuan dan keterampilan di bidang Business Finance
Short Selling: Learn To Sell Stocks Before The Fall,Business Finance,intermediate level,75,2276,1.5,Intermediate,short selling: learn to sell stocks before the fall,3.9749048,309.0,Meningkatkan pengetahuan dan keterampilan di bidang Business Finance
Basic Technical Analysis: Learn the structure of the market,Business Finance,beginner level,20,4919,1.5,Beginner,basic technical analysis: learn the structure of the market,4.239083461755486,0.0,Meningkatkan pengetahuan dan keterampilan di bidang Business Finance
Financial Statements Made Easy,Business Finance,beginner level,95,8095,0.5833333333333334,Beginner,financial statements made easy,4.239083461755486,0.0,Meningkatkan pengetahuan dan keterampilan di bidang Business Finance
Introduction to Accounting : Mastering Financial Statements,Business Finance,beginner level,50,1916,1.0,Beginner,introduction to accounting : mastering financial statements,4.5928125,43.0,Meningkatkan pengetahuan dan keterampilan di bidang Business Finance
Create Your Own Hedge Fund: Trade Stocks Like A Fund Manager,Business Finance,intermediate level,175,4005,2.0,Intermediate,create your own hedge fund: trade stocks like a fund manager,4.324965,762.0,Meningkatkan pengetahuan dan keterampilan di bidang Business Finance
Forex Trading: Your Complete Guide to Get Started Like a Pro,Business Finance,beginner level,140,1026,3.0,Beginner,forex trading: your complete guide to get started like a pro,4.697173,2427.0,Meningkatkan pengetahuan dan keterampilan di bidang Business Finance
